subject,subject_alias,experiment,original_experiment,session,original_session,median_beep_time,experiment_version,expected_offset,expected_offset_pre,expected_beep_time,fixation,beep_duration
R1347D,R1347D,FR1,,2,,0.6494,1.0,1006.3076923076923,0.0,-284.8789813701923,1006.3076923076923,0.72
R1347D,R1347D,FR1,,3,,0.6407,1.0,1011.3846153846154,0.0,-289.95590444711536,1011.3846153846154,0.72
R1347D,R1347D,FR1,,4,,0.641,1.0,1003.6923076923077,0.0,-282.2635967548077,1003.6923076923077,0.72
R1347D,R1347D,catFR1,,0,,0.6358999999999999,1.0,1007.6923076923077,0.0,-286.2635967548077,1007.6923076923077,0.72
R1347D,R1347D,catFR1,,1,,0.6282,1.0,1010.4615384615385,0.0,-289.03282752403845,1010.4615384615385,0.72
R1347D,R1347D,catFR1,,2,,0.64225,1.0,1010.3076923076923,0.0,-288.8789813701923,1010.3076923076923,0.72
R1366J,R1366J,catFR1,,0,,0.6376999999999999,1.0,1006.3076923076923,0.0,-284.8789813701923,1006.3076923076923,0.72
R1374T,R1374T,FR1,,0,,0.6381,1.0,1006.4615384615385,0.0,-285.03282752403845,1006.4615384615385,0.72
R1374T,R1374T,FR1,,1,,0.6194,1.0,1010.4615384615385,0.0,-289.03282752403845,1010.4615384615385,0.72
R1374T,R1374T,catFR1,,0,,0.6319,1.0,1006.2307692307693,0.0,-284.8020582932692,1006.2307692307693,0.72
R1374T,R1374T,catFR1,,1,,0.6355,1.0,1006.6153846153846,0.0,-285.18667367788464,1006.6153846153846,0.72
R1375C,R1375C,FR1,,0,,0.6366,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72
R1375C,R1375C,catFR1,,1,,0.62975,1.0,1007.9230769230769,0.0,-286.4943659855769,1007.9230769230769,0.72
R1375C,R1375C,catFR1,,2,,0.6454500000000001,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72
R1375C,R1375C,catFR1,,3,,0.6357999999999999,1.0,1007.7692307692307,0.0,-286.3405198317308,1007.7692307692307,0.72
R1375C,R1375C,catFR1,,4,,0.6148,1.0,1004.0,0.0,-282.5712890625,1004.0,0.72
R1376D,R1376D,FR1,,0,,0.6463,1.0,1006.3846153846154,0.0,-284.95590444711536,1006.3846153846154,0.72
R1376D,R1376D,catFR1,,0,,0.6248,1.0,1003.8461538461538,0.0,-282.41744290865387,1003.8461538461538,0.72
R1377M,R1377M,FR1,,0,,0.6274500000000001,1.0,1010.3076923076923,0.0,-288.8789813701923,1010.3076923076923,0.72
R1377M,R1377M,FR1,,1,,0.6412,1.0,1006.6153846153846,0.0,-285.18667367788464,1006.6153846153846,0.72
R1377M,R1377M,FR1,,3,,0.63445,1.0,1010.0,0.0,-288.5712890625,1010.0,0.72
R1377M,R1377M,FR1,,4,,0.6333,1.0,1005.1538461538462,0.0,-283.72513521634613,1005.1538461538462,0.72
R1377M,R1377M,catFR1,,0,,0.63005,1.0,1009.0769230769231,0.0,-287.6482121394231,1009.0769230769231,0.72
R1377M,R1377M,catFR1,,6,,0.0009,1.0,1010.3846153846154,0.0,-288.95590444711536,1010.3846153846154,0.72
R1378T,R1378T,FR1,,0,,0.6368499999999999,1.0,1011.0769230769231,0.0,-289.6482121394231,1011.0769230769231,0.72
R1378T,R1378T,FR1,,1,,0.64225,1.0,1006.6923076923077,0.0,-285.2635967548077,1006.6923076923077,0.72
R1378T,R1378T,FR1,,2,,0.63095,1.0,1010.0769230769231,0.0,-288.6482121394231,1010.0769230769231,0.72
R1378T,R1378T,FR1,,3,,0.63805,1.0,1011.8461538461538,0.0,-290.41744290865387,1011.8461538461538,0.72
R1378T,R1378T,catFR1,,0,,0.6286,1.0,1005.2307692307693,0.0,-283.8020582932692,1005.2307692307693,0.72
R1378T,R1378T,catFR1,,1,,0.6288,1.0,1008.7692307692307,0.0,-287.3405198317308,1008.7692307692307,0.72
R1379E,R1379E,FR1,,0,,0.25229999999999997,1.0,1005.2307692307693,0.0,-283.8020582932692,1005.2307692307693,0.72
R1379E,R1379E,FR1,,1,,0.244,1.0,1006.2307692307693,0.0,-284.8020582932692,1006.2307692307693,0.72
R1379E,R1379E,catFR1,,0,,0.24559999999999998,1.0,1005.2307692307693,0.0,-283.8020582932692,1005.2307692307693,0.72
R1379E,R1379E,catFR1,,1,,0.23575,1.0,1006.3846153846154,0.0,-284.95590444711536,1006.3846153846154,0.72
R1380D,R1380D,FR1,,1,,0.6455500000000001,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72
R1380D,R1380D,catFR1,,1,,0.60945,1.0,1010.3846153846154,0.0,-288.95590444711536,1010.3846153846154,0.72
R1380D,R1380D,catFR1,,2,,0.6331,1.0,1012.5384615384615,0.0,-291.10975060096155,1012.5384615384615,0.72
R1380D,R1380D,catFR1,,3,,0.62775,1.0,1010.3076923076923,0.0,-288.8789813701923,1010.3076923076923,0.72
R1380D,R1380D,catFR1,,4,,0.6303000000000001,1.0,1006.4615384615385,0.0,-285.03282752403845,1006.4615384615385,0.72
R1381T,R1381T,FR1,,0,,0.6193500000000001,1.0,1009.2307692307693,0.0,-287.8020582932692,1009.2307692307693,0.72
R1381T,R1381T,catFR1,,0,,0.63775,1.0,1014.0,0.0,-292.5712890625,1014.0,0.72
R1382T,R1382T,FR1,,0,,0.64685,1.0,1010.3076923076923,0.0,-288.8789813701923,1010.3076923076923,0.72
R1382T,R1382T,catFR1,,0,,0.6428499999999999,1.0,1012.6923076923077,0.0,-291.2635967548077,1012.6923076923077,0.72
R1383J,R1383J,FR1,,0,,0.6532,1.0,1008.0,0.0,-286.5712890625,1008.0,0.72
R1383J,R1383J,catFR1,,1,,0.6513,1.0,1005.3076923076923,0.0,-283.8789813701923,1005.3076923076923,0.72
R1383J,R1383J,catFR1,,2,,0.6400999999999999,1.0,1007.7692307692307,0.0,-286.3405198317308,1007.7692307692307,0.72
R1383J,R1383J,catFR1,,3,,0.64085,1.0,1006.5384615384615,0.0,-285.10975060096155,1006.5384615384615,0.72
R1383J,R1383J,catFR1,,4,,0.58115,1.0,1005.1538461538462,0.0,-283.72513521634613,1005.1538461538462,0.72
R1384J,R1384J,FR1,,0,,0.6492,1.0,1006.4615384615385,0.0,-285.03282752403845,1006.4615384615385,0.72
R1384J,R1384J,FR1,,1,,0.6138,1.0,1009.0769230769231,0.0,-287.6482121394231,1009.0769230769231,0.72
R1384J,R1384J,FR1,,2,,0.6352,1.0,1009.0,0.0,-287.5712890625,1009.0,0.72
R1384J,R1384J,FR6,,1,,0.0,6.0,1005.9230769230769,0.0,-505.9230769230769,1005.9230769230769,0.5
R1384J,R1384J,PS5_catFR,PS5_CatFR,0,0.0,0.0,1.0,1009.0,0.0,-509.0,1009.0,0.5
R1384J,R1384J,catFR1,,0,,0.63,1.0,1008.9230769230769,0.0,-287.4943659855769,1008.9230769230769,0.72
R1384J,R1384J,catFR1,,1,,0.6306499999999999,1.0,1010.3076923076923,0.0,-288.8789813701923,1010.3076923076923,0.72
R1384J,R1384J,catFR6,,0,,0.0,6.0,1006.0,0.0,-506.0,1006.0,0.5
R1384J,R1384J,catFR6,,1,,0.0,6.0,1004.5,0.0,-504.5,1004.5,0.5
R1385E,R1385E,FR1,,1,,0.2336,1.0,1008.9230769230769,0.0,-287.4943659855769,1008.9230769230769,0.72
R1385E,R1385E,FR1,,2,,0.23495,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72
R1385E,R1385E,FR1,,3,,0.23620000000000002,1.0,1006.3846153846154,0.0,-284.95590444711536,1006.3846153846154,0.72
R1385E,R1385E,catFR1,,0,,0.23515,1.0,1010.2307692307693,0.0,-288.8020582932692,1010.2307692307693,0.72
R1385E,R1385E,catFR1,,1,,0.2294,1.0,1009.0,0.0,-287.5712890625,1009.0,0.72
R1386T,R1386T,FR1,,0,,0.6311,1.0,1011.3076923076923,0.0,-289.8789813701923,1011.3076923076923,0.72
R1386T,R1386T,FR1,,1,,0.6446000000000001,1.0,1007.6923076923077,0.0,-286.2635967548077,1007.6923076923077,0.72
R1386T,R1386T,catFR1,,1,,0.6351,1.0,1010.1538461538462,0.0,-288.72513521634613,1010.1538461538462,0.72
R1387E,R1387E,FR1,,0,,0.2247,1.0,1007.9230769230769,0.0,-286.4943659855769,1007.9230769230769,0.72
R1387E,R1387E,FR1,,1,,0.23545,1.0,1009.6666666666666,0.0,-288.2379557291667,1009.6666666666666,0.72
R1387E,R1387E,FR1,,2,,0.2395,1.0,1009.0769230769231,0.0,-287.6482121394231,1009.0769230769231,0.72
R1387E,R1387E,catFR1,,0,,0.23245,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72
R1387E,R1387E,catFR1,,1,,0.2472,1.0,1005.3076923076923,0.0,-283.8789813701923,1005.3076923076923,0.72
R1388T,R1388T,catFR1,,0,,0.64,1.0,1007.2857142857143,0.0,-285.8570033482143,1007.2857142857143,0.72
R1388T,R1388T,catFR1,,1,,0.6568,1.0,1005.6666666666666,0.0,-284.2379557291667,1005.6666666666666,0.72
R1389J,R1389J,catFR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1389J,R1389J,catFR1,,1,,0.0,1.0,1007.6923076923077,0.0,-507.6923076923077,1007.6923076923077,0.5
R1389J,R1389J,catFR1,,2,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5
R1389J,R1389J,catFR1,,3,,0.0,1.0,1006.6153846153846,0.0,-506.61538461538464,1006.6153846153846,0.5
R1390M,R1390M,FR1,,1,,0.6224000000000001,1.0,1007.7692307692307,0.0,-286.3405198317308,1007.7692307692307,0.72
R1390M,R1390M,catFR1,,0,,0.5754,1.0,1005.2307692307693,0.0,-283.8020582932692,1005.2307692307693,0.72
R1390M,R1390M,catFR1,,1,,0.6394,1.0,1002.7692307692307,0.0,-281.3405198317308,1002.7692307692307,0.72
R1390M,R1390M,catFR1,,2,,0.6363000000000001,1.0,1011.6153846153846,0.0,-290.18667367788464,1011.6153846153846,0.72
R1390M,R1390M,catFR1,,3,,0.64325,1.0,1006.3846153846154,0.0,-284.95590444711536,1006.3846153846154,0.72
R1391T,R1391T,FR1,,0,,0.59065,1.0,1006.4615384615385,0.0,-285.03282752403845,1006.4615384615385,0.72
R1391T,R1391T,FR1,,1,,0.6265499999999999,1.0,1006.4615384615385,0.0,-285.03282752403845,1006.4615384615385,0.72
R1391T,R1391T,FR1,,2,,0.63825,1.0,1014.0769230769231,0.0,-292.6482121394231,1014.0769230769231,0.72
R1391T,R1391T,catFR1,,0,,0.63735,1.0,1010.3846153846154,0.0,-288.95590444711536,1010.3846153846154,0.72
R1391T,R1391T,catFR1,,1,,0.6353,1.0,1010.3076923076923,0.0,-288.8789813701923,1010.3076923076923,0.72
R1393T,R1393T,FR1,,0,,0.61915,1.0,1005.0,0.0,-283.5712890625,1005.0,0.72
R1393T,R1393T,catFR1,,0,,0.61595,1.0,1010.3846153846154,0.0,-288.95590444711536,1010.3846153846154,0.72
R1393T,R1393T,catFR1,,1,,0.6436999999999999,1.0,1007.6153846153846,0.0,-286.18667367788464,1007.6153846153846,0.72
R1393T,R1393T,catFR1,,2,,0.6307,1.0,1008.9230769230769,0.0,-287.4943659855769,1008.9230769230769,0.72
R1394E,R1394E,FR1,,0,,0.24145,1.0,1008.0,0.0,-286.5712890625,1008.0,0.72
R1394E,R1394E_1,FR1,,1,1.0,0.24365,1.0,1006.3846153846154,0.0,-284.95590444711536,1006.3846153846154,0.72
R1394E,R1394E_1,catFR1,,1,1.0,0.23970000000000002,1.0,1004.0,0.0,-282.5712890625,1004.0,0.72
R1394E,R1394E_1,catFR1,,2,2.0,0.24705,1.0,1003.8461538461538,0.0,-282.41744290865387,1003.8461538461538,0.72
R1395M,R1395M,FR1,,0,,0.63165,1.0,1010.3076923076923,0.0,-288.8789813701923,1010.3076923076923,0.72
R1395M,R1395M,FR1,,1,,0.0,1.0,1006.6153846153846,0.0,-506.61538461538464,1006.6153846153846,0.5
R1395M,R1395M,FR1,,2,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5
R1395M,R1395M,FR1,,3,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1395M,R1395M,FR1,,4,,0.0,1.0,1003.8461538461538,0.0,-503.84615384615387,1003.8461538461538,0.5
R1395M,R1395M,FR1,,5,,0.0,1.0,1008.0769230769231,0.0,-508.0769230769231,1008.0769230769231,0.5
R1395M,R1395M,catFR1,,0,,0.0,1.0,1010.3076923076923,0.0,-510.3076923076923,1010.3076923076923,0.5
R1395M,R1395M,catFR1,,1,,0.0,1.0,1006.7692307692307,0.0,-506.7692307692308,1006.7692307692307,0.5
R1395M,R1395M,catFR1,,2,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5
R1395M,R1395M,catFR1,,3,,0.0,1.0,1006.3076923076923,0.0,-506.3076923076923,1006.3076923076923,0.5
R1395M,R1395M,catFR1,,4,,0.0,1.0,1011.5384615384615,0.0,-511.53846153846155,1011.5384615384615,0.5
R1395M,R1395M,catFR1,,5,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5
R1395M,R1395M,catFR1,,6,,0.0,1.0,1009.0769230769231,0.0,-509.0769230769231,1009.0769230769231,0.5
R1396T,R1396T,FR1,,0,,0.6289,1.0,1011.5384615384615,0.0,-290.10975060096155,1011.5384615384615,0.72
R1396T,R1396T,FR1,,1,,0.0,1.0,1007.9230769230769,0.0,-507.9230769230769,1007.9230769230769,0.5
R1396T,R1396T,catFR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1397D,R1397D,FR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1397D,R1397D,FR1,,1,,0.0001,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5
R1397D,R1397D,FR6,,0,,0.0,6.0,1005.8461538461538,0.0,-505.84615384615387,1005.8461538461538,0.5
R1397D,R1397D,catFR1,,1,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1397D,R1397D,catFR1,,3,,0.0,1.0,1010.2307692307693,0.0,-510.2307692307692,1010.2307692307693,0.5
R1398J,R1398J,FR1,,1,,0.0,1.0,1005.1538461538462,0.0,-505.15384615384613,1005.1538461538462,0.5
R1398J,R1398J,FR1,,3,,0.0,1.0,1007.8461538461538,0.0,-507.84615384615387,1007.8461538461538,0.5
R1398J,R1398J,catFR1,,0,,0.0,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5
R1398J,R1398J,catFR1,,1,,0.0,1.0,1010.0769230769231,0.0,-510.0769230769231,1010.0769230769231,0.5
R1400N,R1400N,catFR1,CatFR1,0,,0.0,1.0,1002.6153846153846,0.0,-502.61538461538464,1002.6153846153846,0.5
R1400N,R1400N,catFR1,CatFR1,1,,0.0,1.0,1006.6923076923077,0.0,-506.6923076923077,1006.6923076923077,0.5
R1400N,R1400N,catFR1,CatFR1,2,,0.0,1.0,1006.6153846153846,0.0,-506.61538461538464,1006.6153846153846,0.5
R1400N,R1400N,catFR1,CatFR1,3,,0.0,1.0,1006.3076923076923,0.0,-506.3076923076923,1006.3076923076923,0.5
R1400N,R1400N,catFR6,CatFR6,2,,0.0,6.0,1005.3846153846154,0.0,-505.38461538461536,1005.3846153846154,0.5
R1400N,R1400N,catFR6,CatFR6,3,,0.0,6.0,1005.6666666666666,0.0,-505.6666666666667,1005.6666666666666,0.5
R1400N,R1400N,catFR6,CatFR6,7,,0.0061,6.0,1007.1428571428571,0.0,-507.14285714285717,1007.1428571428571,0.5
R1400N,R1400N,catFR6,CatFR6,8,,0.0,6.0,1006.6,0.0,-506.6,1006.6,0.5
R1401J,R1401J,FR1,,0,,0.0,1.0,1009.2307692307693,0.0,-509.2307692307692,1009.2307692307693,0.5
R1401J,R1401J,catFR1,,0,,0.0,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5
R1401J,R1401J,catFR1,,1,,0.0,1.0,1002.7692307692307,0.0,-502.7692307692308,1002.7692307692307,0.5
R1401J,R1401J,catFR1,,2,,0.0,1.0,1001.3076923076923,0.0,-501.3076923076923,1001.3076923076923,0.5
R1402E,R1402E,FR1,,0,,0.2405,1.0,1005.3076923076923,0.0,-283.8789813701923,1005.3076923076923,0.72
R1403N,R1403N,catFR1,CatFR1,0,,0.0,1.0,1007.8461538461538,0.0,-507.84615384615387,1007.8461538461538,0.5
R1403N,R1403N,catFR1,CatFR1,1,,0.0,1.0,1007.6363636363636,0.0,-507.6363636363636,1007.6363636363636,0.5
R1403N,R1403N,catFR1,CatFR1,2,,0.0,1.0,1006.6923076923077,0.0,-506.6923076923077,1006.6923076923077,0.5
R1403N,R1403N,catFR1,CatFR1,4,,0.0,1.0,1005.1538461538462,0.0,-505.15384615384613,1005.1538461538462,0.5
R1403N,R1403N,catFR6,CatFR6,0,,0.0,6.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1404E,R1404E,FR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1404E,R1404E,FR1,,1,,0.0,1.0,1003.8461538461538,0.0,-503.84615384615387,1003.8461538461538,0.5
R1404E,R1404E,catFR1,,0,,0.2476,1.0,1007.8461538461538,0.0,-286.41744290865387,1007.8461538461538,0.72
R1404E,R1404E,catFR1,,1,,0.0,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5
R1404E,R1404E,catFR6,CatFR6,0,,0.0,6.0,1008.4230769230769,0.0,-508.4230769230769,1008.4230769230769,0.5
R1405E,R1405E,FR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1405E,R1405E,catFR1,,0,,0.0,1.0,1005.0769230769231,0.0,-505.0769230769231,1005.0769230769231,0.5
R1405E,R1405E,catFR1,,1,,0.0,1.0,1008.9230769230769,0.0,-508.9230769230769,1008.9230769230769,0.5
R1405E,R1405E_1,FR1,,1,,0.0,1.0,1004.0769230769231,0.0,-504.0769230769231,1004.0769230769231,0.5
R1405E,R1405E_1,catFR1,,2,,0.0,1.0,1012.9230769230769,0.0,-512.9230769230769,1012.9230769230769,0.5
R1406M,R1406M,FR1,,3,,0.0,1.0,1010.3846153846154,0.0,-510.38461538461536,1010.3846153846154,0.5
R1406M,R1406M,FR1,,4,,0.0,1.0,1005.4615384615385,0.0,-505.46153846153845,1005.4615384615385,0.5
R1406M,R1406M,catFR1,,1,,0.0,1.0,1009.1538461538462,0.0,-509.15384615384613,1009.1538461538462,0.5
R1406M,R1406M,catFR1,,2,,0.0,1.0,1010.0,0.0,-510.0,1010.0,0.5
R1406M,R1406M,catFR1,,3,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1408N,R1408N,catFR1,CatFR1,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1408N,R1408N,catFR1,CatFR1,1,,0.0,1.0,1008.8076923076923,0.0,-508.8076923076923,1008.8076923076923,0.5
R1409D,R1409D,FR1,,1,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1409D,R1409D,FR1,,2,,0.0,1.0,1002.6153846153846,0.0,-502.61538461538464,1002.6153846153846,0.5
R1409D,R1409D,FR6,,0,,0.0,6.0,1005.2692307692307,0.0,-505.2692307692308,1005.2692307692307,0.5
R1409D,R1409D,FR6,,2,,0.0,6.0,1008.3461538461538,0.0,-508.34615384615387,1008.3461538461538,0.5
R1409D,R1409D,FR6,,3,,0.0,6.0,1004.4615384615385,0.0,-504.46153846153845,1004.4615384615385,0.5
R1409D,R1409D,FR6,,9,,0.0,6.0,1009.35,0.0,-509.35,1009.35,0.5
R1409D,R1409D,catFR1,,1,,0.0,1.0,1009.0,0.0,-509.0,1009.0,0.5
R1409D,R1409D,catFR1,,2,,0.0,1.0,1006.1538461538462,0.0,-506.15384615384613,1006.1538461538462,0.5
R1409D,R1409D,catFR1,,3,,0.0,1.0,1003.7692307692307,0.0,-503.7692307692308,1003.7692307692307,0.5
R1409D,R1409D,catFR6,,0,,0.0,6.0,1005.6923076923077,0.0,-505.6923076923077,1005.6923076923077,0.5
R1412M,R1412M,FR1,,1,,0.0,1.0,1006.5384615384615,0.0,-506.53846153846155,1006.5384615384615,0.5
R1412M,R1412M,catFR1,,0,,0.0,1.0,1010.3076923076923,0.0,-510.3076923076923,1010.3076923076923,0.5
R1412M,R1412M,catFR1,,1,,0.0,1.0,1002.8333333333334,0.0,-502.8333333333333,1002.8333333333334,0.5
R1412M,R1412M,catFR1,,2,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5
R1414E,R1414E,FR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1414E,R1414E,catFR1,,0,,0.0,1.0,1006.2307692307693,0.0,-506.2307692307692,1006.2307692307693,0.5
R1415T,R1415T,FR1,,1,,0.0,1.0,1005.0,0.0,-505.0,1005.0,0.5
R1415T,R1415T,catFR1,,0,,0.0,1.0,1009.1538461538462,0.0,-509.15384615384613,1009.1538461538462,0.5
R1416T,R1416T,FR1,,0,,0.0,1.0,1006.5384615384615,0.0,-506.53846153846155,1006.5384615384615,0.5
R1416T,R1416T,FR1,,1,,0.0,1.0,1011.5384615384615,0.0,-511.53846153846155,1011.5384615384615,0.5
R1420T,R1420T,FR1,,0,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5
R1420T,R1420T,FR1,,1,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1420T,R1420T,catFR1,,0,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5
R1421M,R1421M,FR1,,0,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1421M,R1421M,catFR1,,0,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5
R1421M,R1421M,catFR1,,1,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1422T,R1422T,catFR1,,0,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1423E,R1423E,FR1,,0,,0.0,1.0,1012.9230769230769,0.0,-512.9230769230769,1012.9230769230769,0.5
R1423E,R1423E,catFR1,,0,,0.0,1.0,1007.3076923076923,0.0,-507.3076923076923,1007.3076923076923,0.5
R1425D,R1425D,TICL_FR,,0,,0.0,6.0,1007.3076923076923,0.0,-507.3076923076923,1007.3076923076923,0.5
R1425D,R1425D,TICL_FR,,3,,0.0,6.0,1007.4666666666667,0.0,-507.46666666666664,1007.4666666666667,0.5
R1425D,R1425D,TICL_FR,,7,,0.0,6.0,1007.7307692307693,0.0,-507.7307692307692,1007.7307692307693,0.5
R1426N,R1426N,catFR1,,0,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5
R1426N,R1426N,catFR1,,1,,0.0,1.0,1005.6666666666666,0.0,-505.6666666666667,1005.6666666666666,0.5
R1427T,R1427T,FR1,,0,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5
R1427T,R1427T,FR1,,1,,0.0,1.0,1004.0769230769231,0.0,-504.0769230769231,1004.0769230769231,0.5
R1427T,R1427T,FR1,,2,,0.0,1.0,1008.8461538461538,0.0,-508.84615384615387,1008.8461538461538,0.5
R1427T,R1427T,TICL_FR,,0,,0.0,6.0,1005.4615384615385,0.0,-505.46153846153845,1005.4615384615385,0.5
R1427T,R1427T,catFR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1428T,R1428T,FR1,,0,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5
